timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 09:43:00 US/Eastern,TLT_aggressive,BUY,16,90.1900,90.1900,23.49,0.0000,0.0000,90.1987,90.1879,0.0000,bearish,0.0408,0.1000,,,556.96,"Buy Init: RSI(23.49)<=OS(35), 15mOK, >VWAP",90.090,
20250324 09:52:00 US/Eastern,TLT_aggressive,SELL,16,90.0200,90.1900,35.08,0.0000,0.0000,90.0645,90.0835,0.0000,bearish,0.0567,0.1000,-2.720,-0.188,1997.28,StopLossHit(90.090),90.090,
20250324 09:52:00 US/Eastern,PSQ_aggressive,BUY,25,39.2900,39.2900,30.63,0.0000,0.0000,39.3941,39.3645,0.0000,bearish,0.0385,0.1000,,,1015.03,"Buy Init: RSI(30.63)<=OS(35), 15mOK, >VWAP",39.190,
20250324 10:11:00 US/Eastern,HIMS_aggressive,BUY,25,35.4200,35.4200,33.25,-0.0683,0.0072,35.7591,35.9505,0.0000,bullish,0.2479,0.3719,,,129.53,"Buy Init: RSI(33.25)<=OS(35), 15mOK, >VWAP",35.048,
20250324 10:12:00 US/Eastern,PSQ_aggressive,SELL,25,39.3100,39.2900,47.80,-0.0016,-0.0110,39.3699,39.2965,0.0000,bearish,0.0313,0.1000,0.500,0.051,1112.28,TrailingStopHit(39.332),,39.332
20250324 10:24:00 US/Eastern,UGL_aggressive,BUY,25,30.0400,30.0400,26.37,-0.0092,-0.0026,30.1250,30.1215,0.0000,bearish,0.0183,0.1000,,,361.28,"Buy Init: RSI(26.37)<=OS(35), 15mOK, >VWAP",29.940,
20250324 10:36:00 US/Eastern,HIMS_aggressive,SELL,7,36.0200,35.4200,58.37,0.0300,0.0197,35.7702,35.8830,0.0000,bullish,0.1572,0.3719,4.200,1.694,613.42,PartialTP 1 (1.5R @35.978),,
20250324 10:37:00 US/Eastern,UGL_aggressive,SELL,25,29.9500,30.0400,38.57,-0.0567,-0.0454,30.0726,30.0190,0.0000,bearish,0.0256,0.1000,-2.250,-0.300,1362.17,TrailingStopHit(30.029),,30.029
20250324 10:38:00 US/Eastern,UGL_aggressive,BUY,25,29.8600,29.8600,29.59,-0.0604,-0.0484,30.0717,30.0055,0.0000,bearish,0.0309,0.1000,,,615.67,"Buy Init: RSI(29.59)<=OS(35), 15mOK, >VWAP",29.760,
20250324 10:43:00 US/Eastern,HIMS_aggressive,SELL,7,36.2600,35.4200,65.87,0.0871,0.0611,35.7930,35.9725,0.0000,bullish,0.1435,0.3719,5.880,2.372,869.49,PartialTP 2 (2.0R @36.164),,
