timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 10:33:00 US/Eastern,IBIT_moderate,BUY,19,50.0100,50.0100,34.97,-0.0079,0.0481,50.0100,50.2875,0.0000,bullish,0.0825,0.2500,,,1049.81,"Buy Init: RSI(34.97)<=OS(35), 15mOK, >VWAP",49.760,
20250324 10:51:00 US/Eastern,IBIT_moderate,SELL,19,50.1100,50.0100,44.90,-0.0009,-0.0016,50.0258,50.1245,0.0000,bullish,0.0717,0.2500,1.900,0.200,2001.90,TrailingStopHit(50.112),,50.112
20250324 10:56:00 US/Eastern,HOOD_moderate,BUY,20,48.3300,48.3300,33.64,0.0144,0.1008,47.7940,48.7415,0.0000,bullish,0.1467,0.2934,,,1035.30,"Buy Init: RSI(33.64)<=OS(35), 15mOK, >VWAP",48.037,
20250324 11:11:00 US/Eastern,HOOD_moderate,SELL,20,48.2000,48.3300,37.27,-0.0720,-0.0662,47.8361,48.3540,0.0000,bullish,0.1368,0.2934,-2.600,-0.269,1999.30,TrailingStopHit(48.205),,48.205
20250324 11:13:00 US/Eastern,HOOD_moderate,BUY,20,48.1000,48.1000,32.98,-0.0903,-0.0732,47.8398,48.2950,0.0000,bullish,0.1353,0.2707,,,1037.30,"Buy Init: RSI(32.98)<=OS(35), 15mOK, >VWAP",47.829,
20250324 11:32:00 US/Eastern,HOOD_moderate,SELL,20,48.0900,48.1000,41.82,-0.0381,-0.0438,47.8614,48.1780,0.0000,bullish,0.1259,0.2707,-0.200,-0.021,1999.10,TrailingStopHit(48.111),,48.111
20250324 11:39:00 US/Eastern,TQQQ_moderate,BUY,15,65.7800,65.7800,32.20,-0.0410,-0.0201,65.5737,65.9675,0.0000,bullish,0.0772,0.2500,,,1012.40,"Buy Init: RSI(32.20)<=OS(35), 15mOK, >VWAP",65.530,
20250324 12:05:00 US/Eastern,TQQQ_moderate,SELL,15,66.1100,65.7800,66.45,0.0429,0.0251,65.6015,65.9490,0.0000,bullish,0.0730,0.2500,4.950,0.502,2004.05,RSIOverbought(66.45>=65),,
20250324 12:20:00 US/Eastern,IBIT_moderate,BUY,19,50.1000,50.1000,30.90,-0.0141,0.0122,50.0501,50.2550,0.0000,bullish,0.0450,0.2500,,,1052.15,"Buy Init: RSI(30.90)<=OS(35), 15mOK, >VWAP",49.850,
20250324 12:20:00 US/Eastern,BITX_moderate,BUY,20,41.3900,41.3900,31.50,-0.0220,0.0208,41.3270,41.6405,0.0000,bullish,0.0627,0.2500,,,224.35,"Buy Init: RSI(31.50)<=OS(35), 15mOK, >VWAP",41.140,
20250324 12:25:00 US/Eastern,BITX_moderate,SELL,20,41.4000,41.3900,38.28,-0.0444,-0.0200,41.3321,41.5805,0.0000,bullish,0.0704,0.2500,0.200,0.024,1052.35,TrailingStopHit(41.404),,41.404
20250324 12:26:00 US/Eastern,CONL_moderate,BUY,20,18.9600,18.9600,33.12,-0.0179,0.0110,18.7500,19.2015,0.0000,bullish,0.0626,0.2500,,,673.15,"Buy Init: RSI(33.12)<=OS(35), 15mOK, >VWAP",18.710,
20250324 12:32:00 US/Eastern,IBIT_moderate,SELL,19,49.9600,50.1000,34.52,-0.0774,-0.0554,50.0469,50.0990,0.0000,bullish,0.0588,0.2500,-2.660,-0.279,1622.39,TrailingStopHit(50.082),,50.082
20250324 12:41:00 US/Eastern,TQQQ_moderate,BUY,15,65.7000,65.7000,33.41,-0.0580,-0.0458,65.6557,65.9125,0.0000,bullish,0.1015,0.2500,,,636.89,"Buy Init: RSI(33.41)<=OS(35), 15mOK, >VWAP",65.450,
20250324 12:41:00 US/Eastern,CONL_moderate,SELL,20,18.9300,18.9600,39.32,-0.0383,-0.0404,18.7549,19.0225,0.0000,bullish,0.0653,0.2500,-0.600,-0.158,1015.49,TrailingStopHit(18.962),,18.962
20250324 12:56:00 US/Eastern,TQQQ_moderate,SELL,15,65.8400,65.7000,42.17,-0.0059,-0.0061,65.6642,65.8950,0.0000,bullish,0.0863,0.2500,2.100,0.213,2003.09,TrailingStopHit(65.880),,65.880
20250324 13:20:00 US/Eastern,HIMS_moderate,BUY,20,37.3000,37.3000,32.31,-0.0765,-0.0342,36.5862,37.6470,0.0000,bullish,0.1248,0.2500,,,1257.09,"Buy Init: RSI(32.31)<=OS(35), 15mOK, >VWAP",37.050,
20250324 13:25:00 US/Eastern,HOOD_moderate,BUY,20,48.2100,48.2100,34.66,-0.0535,-0.0447,47.9739,48.3290,0.0000,bullish,0.0764,0.2500,,,292.89,"Buy Init: RSI(34.66)<=OS(35), 15mOK, >VWAP",47.960,
20250324 13:32:00 US/Eastern,HOOD_moderate,SELL,20,48.1000,48.2100,36.86,-0.0585,-0.0437,47.9772,48.2760,0.0000,bullish,0.1189,0.2500,-2.200,-0.228,1254.89,TrailingStopHit(48.182),,48.182
20250324 13:38:00 US/Eastern,HIMS_moderate,SELL,20,37.2000,37.3000,34.96,-0.0358,-0.0353,36.6312,37.3785,0.0000,bullish,0.1228,0.2500,-2.000,-0.268,1998.89,TrailingStopHit(37.326),,37.326
20250324 13:39:00 US/Eastern,HIMS_moderate,BUY,20,37.1700,37.1700,33.68,-0.0515,-0.0385,36.6347,37.3675,0.0000,bullish,0.1226,0.2500,,,1255.49,"Buy Init: RSI(33.68)<=OS(35), 15mOK, >VWAP",36.920,
